Category,Product,URL
foundation-makeup,Erborian BB Cream Tinted Moisturizer Broad Spectrum SPF20,https://www.sephora.com/product/bb-creme-au-ginseng-P396093?icid2=products%20grid:p396093
foundation-makeup,tarte SEA Water Foundation Customizable Set,https://www.sephora.com/product/tarte-sea-water-foundation-customizable-set-P460558?icid2=products%20grid:p460558
foundation-makeup,Laura Mercier Silk Crème Moisturizing Photo Edition Foundation,https://www.sephora.com/product/silk-creme-moisturizing-photo-edition-foundation-P394937?icid2=products%20grid:p394937
foundation-makeup,Armani Beauty Luminous Silk Compact Powder Foundation,https://www.sephora.com/product/luminous-silk-compact-powder-foundation-P399928?icid2=products%20grid:p399928
foundation-makeup,Yves Saint Laurent Touche Eclat All-In-One Glow Foundation,https://www.sephora.com/product/touche-eclat-all-in-one-glow-P428504?icid2=products%20grid:p428504
foundation-makeup,tarte Amazonian Clay BB Tinted Moisturizer Broad Spectrum SPF 20 Sunscreen,https://www.sephora.com/product/amazonian-clay-bb-tinted-moisturizer-broad-spectrum-spf-20-sunscreen-P67617?icid2=products%20grid:p67617
foundation-makeup,bareMinerals COMPLEXION RESCUE™ Hydrating Foundation Stick with Mineral SPF 25,https://www.sephora.com/product/complexion-rescue-hydrating-foundation-stick-broad-spectrum-spf-25-P441829?icid2=products%20grid:p441829
foundation-makeup,Josie Maran Vibrancy Argan Oil Foundation Fluid,https://www.sephora.com/product/vibrancy-argan-oil-foundation-fluid-P407445?icid2=products%20grid:p407445
foundation-makeup,Armani Beauty Neo Nude Foundation,https://www.sephora.com/product/giorgio-armani-beauty-neo-nude-foundation-P458270?icid2=products%20grid:p458270
foundation-makeup,Bite Beauty Changemaker Supercharged Micellar Foundation,https://www.sephora.com/product/bite-beauty-changemaker-supercharged-micellar-foundation-vegan-P454740?icid2=products%20grid:p454740
foundation-makeup,tarte BB Tinted Treatment 12-Hour Primer Broad Spectrum SPF 30 Sunscreen,https://www.sephora.com/product/bb-tinted-treatment-12-hour-primer-broad-spectrum-spf-30-sunscreen-P377542?icid2=products%20grid:p377542
foundation-makeup,Wander Beauty Nude Illusion Liquid Foundation,https://www.sephora.com/product/nude-illusion-liquid-foundation-P437367?icid2=products%20grid:p437367
foundation-makeup,CLINIQUE Acne Solutions™ BB Cream SPF 40,https://www.sephora.com/product/acne-solutions-bb-cream-broad-spectrum-spf-40-P394252?icid2=products%20grid:p394252
foundation-makeup,Estée Lauder Double Wear Stay-in-Place Matte Powder Foundation,https://www.sephora.com/product/double-wear-stay-in-place-matte-powder-foundation-P441306?skuId=2179604&icid2=products%20grid:p441306
foundation-makeup,Guerlain Lingerie De Peau Natural Perfection Foundation SPF 20,https://www.sephora.com/product/lingerie-de-peau-liquid-foundation-spf-20-P276800?icid2=products%20grid:p276800
foundation-makeup,Charlotte Tilbury Magic Foundation,https://www.sephora.com/product/magic-foundation-P433518?icid2=products%20grid:p433518
foundation-makeup,CLINIQUE Superbalanced Makeup Foundation,https://www.sephora.com/product/superbalanced-makeup-P122740?icid2=products%20grid:p122740
foundation-makeup,Estée Lauder Futurist Hydra Rescue Moisturizing Foundation SPF 45,https://www.sephora.com/product/estee-lauder-futurist-hydrating-rescue-moisturizing-foundation-spf-45-P454063?icid2=products%20grid:p454063
foundation-makeup,Lancôme Teint Idole Ultra Longwear Foundation Stick SPF 21,https://www.sephora.com/product/teint-idole-ultra-longwear-foundation-stick-spf-21-P403944?icid2=products%20grid:p403944
foundation-makeup,Bobbi Brown Skin Weightless Powder Foundation,https://www.sephora.com/product/skin-weightless-powder-foundation-P388664?icid2=products%20grid:p388664
foundation-makeup,La Mer The Luminous Lifting Cushion Foundation SPF 20 + Refill,https://www.sephora.com/product/the-luminous-lifting-cushion-foundation-spf-20-refill-P437500?icid2=products%20grid:p437500
foundation-makeup,Armani Beauty Designer Lift Smoothing Firming Full Coverage Foundation with SPF 20,https://www.sephora.com/product/designer-lift-smoothing-firming-foundation-spf-20-P393406?icid2=products%20grid:p393406
foundation-makeup,Dior Dreamskin Fresh & Perfect Cushion Broad Spectrum SPF 50,https://www.sephora.com/product/capture-dreamskin-fresh-perfect-cushion-broad-spectrum-spf-50-P435806?icid2=products%20grid:p435806
foundation-makeup,Too Faced Peaches & Cream Modern Matte Custom Complexion Kit,https://www.sephora.com/product/too-faced-modern-matte-custom-complexion-kit-P458269?icid2=products%20grid:p458269
foundation-makeup,Anastasia Beverly Hills Stick Foundation,https://www.sephora.com/product/stick-foundation-P410504?icid2=products%20grid:p410504
foundation-makeup,CLINIQUE Chubby in the Nude Foundation Stick,https://www.sephora.com/product/chubby-in-nude-foundation-stick-P404468?icid2=products%20grid:p404468
foundation-makeup,Benefit Cosmetics Hello Happy Velvet Powder Foundation,https://www.sephora.com/product/hello-happy-velvet-power-foundation-P447122?icid2=products%20grid:p447122
foundation-makeup,SEPHORA COLLECTION Clean Glowing Skin Foundation,https://www.sephora.com/product/sephora-collection-clean-glowing-skin-foundation-P460718?icid2=products%20grid:p460718
foundation-makeup,SEPHORA COLLECTION Matte Perfection Full Coverage Foundation,https://www.sephora.com/product/matte-perfection-foundation-P439400?icid2=products%20grid:p439400
foundation-makeup,Hourglass Vanish™ Seamless Finish Liquid Foundation,https://www.sephora.com/product/vanish-seamless-finish-liquid-foundation-P440458?icid2=products%20grid:p440458
foundation-makeup,bareMinerals Prime Time™  BB Tinted Primer Broad Spectrum SPF 30,https://www.sephora.com/product/prime-time-bb-primer-cream-daily-defense-broad-spectrum-spf-30-P385504?icid2=products%20grid:p385504
foundation-makeup,MAKE UP FOR EVER Ultra HD Invisible Cover Cream Foundation Palette,https://www.sephora.com/product/ultra-hd-invisible-cover-cream-foundation-palette-P440956?icid2=products%20grid:p440956
foundation-makeup,Urban Decay Stay Naked The Fix Powder Foundation,https://www.sephora.com/product/urban-decay-stay-naked-fix-powder-foundation-P454606?icid2=products%20grid:p454606
foundation-makeup,Bobbi Brown Skin Long-Wear Fluid Powder Foundation SPF 20,https://www.sephora.com/product/bobbi-brown-skin-long-wear-fluid-powder-foundation-P455195?icid2=products%20grid:p455195
foundation-makeup,Benefit Cosmetics Hello Happy Flawless Brightening Foundation SPF 15,https://www.sephora.com/product/hello-happy-flawless-brightening-foundation-P447121?icid2=products%20grid:p447121
foundation-makeup,Smashbox Studio Skin 24 Hour Full Coverage Waterproof Foundation,https://www.sephora.com/product/studio-skin-full-coverage-24-hour-foundation-P447363?icid2=products%20grid:p447363
foundation-makeup,FENTY BEAUTY by Rihanna Hydrating Complexion Essentials,https://www.sephora.com/product/hydrating-foundation-bundle-P451632?icid2=products%20grid:p451632
foundation-makeup,KVD Vegan Beauty Lock-It Powder Foundation Refills,https://www.sephora.com/product/lock-it-powder-foundation-refills-P447557?icid2=products%20grid:p447557
foundation-makeup,BECCA Cosmetics Zero No Pigment Foundation,https://www.sephora.com/product/becca-cosmetics-zero-no-pigment-virtual-foundation-P461135?icid2=products%20grid:p461135
foundation-makeup,Wander Beauty Wanderlust Powder Foundation,https://www.sephora.com/product/wanderlust-powder-foundation-P411529?icid2=products%20grid:p411529
foundation-makeup,Shiseido Synchro Skin Self-Refreshing Custom Finish Powder Foundation,https://www.sephora.com/product/shiseido-synchro-skin-self-refreshing-custom-finish-powder-foundation-P454978?icid2=products%20grid:p454978
foundation-makeup,Givenchy Matissime Velvet Radiant Mattifying Fluid Foundation SPF 20,https://www.sephora.com/product/matissime-velvet-radiant-mattifying-fluid-foundation-spf-20-P419438?icid2=products%20grid:p419438
foundation-makeup,Guerlain L'Essentiel Natural Longwear Foundation SPF 20,https://www.sephora.com/product/l-essentiel-natural-16h-wear-foundation-spf-20-P444578?icid2=products%20grid:p444578
foundation-makeup,KEVYN AUCOIN The Etherealist Foundation,https://www.sephora.com/product/the-etherealist-skin-illuminating-foundation-P411600?icid2=products%20grid:p411600
foundation-makeup,Givenchy Teint Couture Everwear 24H Foundation SPF 20,https://www.sephora.com/product/teint-couture-everwear-foundation-P442284?icid2=products%20grid:p442284
foundation-makeup,COOLA Rōsilliance™ Organic BB+ Cream SPF 30,https://www.sephora.com/product/rosilliance-organic-bb-cream-spf-30-P409519?icid2=products%20grid:p409519
foundation-makeup,Estée Lauder Double Wear Stay-In-Place Foundation Pump,https://www.sephora.com/product/double-wear-stay-in-place-makeup-pump-P427045?icid2=products%20grid:p427045
foundation-makeup,Dior Dreamskin Fresh & Perfect Cushion Broad Spectrum SPF 50 Refill,https://www.sephora.com/product/capture-dreamskin-fresh-perfect-cushion-broad-spectrum-spf-50-refill-P435807?icid2=products%20grid:p435807
